COUNTRY,FLOW,PARTNER,YEAR,VALUE
Austria,Exports,Chile,2013,262315276
Austria,Exports,Chile,2014,180960130
Austria,Exports,Chile,2015,173223379
Austria,Exports,Chile,2016,202549594
Austria,Exports,China (People's Republic of),2010,3353610092
Austria,Exports,China (People's Republic of),2011,3784446375
Austria,Exports,China (People's Republic of),2012,3476216344
Austria,Exports,China (People's Republic of),2013,3569184448
Austria,Exports,China (People's Republic of),2014,3854128432
Austria,Exports,China (People's Republic of),2015,3330097420
Austria,Exports,China (People's Republic of),2016,3576054767
Austria,Exports,Estonia,2010,98742785
Austria,Exports,Estonia,2011,137326629
Austria,Exports,Estonia,2012,151826434
Austria,Exports,Estonia,2013,154416951
Austria,Exports,Estonia,2015,111462339
Austria,Exports,Estonia,2016,132608425
Austria,Exports,India,2010,833675361
Austria,Exports,India,2011,1107318078
Austria,Exports,India,2012,765399096
Austria,Exports,India,2013,866884749
Austria,Exports,India,2014,794870036
Austria,Exports,India,2015,799484560
Austria,Exports,India,2016,870378456
Austria,Exports,Indonesia,2010,292912945
Austria,Exports,Indonesia,2011,340607025
Austria,Exports,Indonesia,2012,337415273
Austria,Exports,Indonesia,2013,360976046
Austria,Exports,Indonesia,2014,256201587
Austria,Exports,Indonesia,2015,218038367
Austria,Exports,Indonesia,2016,219865067
Austria,Exports,Israel,2010,279397711
Austria,Exports,Israel,2011,404086682
Austria,Exports,Israel,2012,287274086
Austria,Exports,Israel,2013,349575310
Austria,Exports,Israel,2014,364981783
Austria,Exports,Israel,2015,371835313
Austria,Exports,Israel,2016,364568693
Austria,Exports,Russia,2010,3721894321
Austria,Exports,Russia,2011,5177739307
Austria,Exports,Russia,2012,5211783322
Austria,Exports,Russia,2013,5633551898
Austria,Exports,Russia,2014,5186705252
Austria,Exports,Russia,2015,2859876179
Austria,Exports,Russia,2016,2111553872
Austria,Exports,Saudi Arabia,2010,513343804
Austria,Exports,Saudi Arabia,2011,745228687
Austria,Exports,Saudi Arabia,2012,738764223
Austria,Exports,Saudi Arabia,2013,912098144
Austria,Exports,Saudi Arabia,2014,944064462
Austria,Exports,Saudi Arabia,2015,761298731
Austria,Exports,Saudi Arabia,2016,641802858
Austria,Exports,Slovenia,2010,2914246602
Austria,Exports,Slovenia,2011,3021962096
Austria,Exports,Slovenia,2012,2823885567
Austria,Exports,Slovenia,2013,3099495675
Austria,Exports,Slovenia,2015,2910585516
Austria,Exports,Slovenia,2016,2833939160
Austria,Exports,South Africa,2010,567403613
Austria,Exports,South Africa,2011,694608856
Austria,Exports,South Africa,2012,684866257
Austria,Exports,South Africa,2013,638514685
Austria,Exports,South Africa,2014,614612281
Austria,Exports,South Africa,2015,524980763
Austria,Exports,South Africa,2016,480302482
Belgium,Exports,Australia,2010,2160455585
Belgium,Exports,Australia,2011,2391984180
Belgium,Exports,Australia,2012,2338273340
Belgium,Exports,Australia,2013,2398781244
Belgium,Exports,Australia,2014,2173248161
Belgium,Exports,Australia,2015,1913346405
Belgium,Exports,Australia,2016,2003876989
Belgium,Exports,Australia,2017,2112117856
Belgium,Exports,Australia,2018,2229109062
Belgium,Exports,Austria,2010,3983792485
Belgium,Exports,Austria,2011,4540810011
Belgium,Exports,Austria,2012,4236552178
Belgium,Exports,Austria,2013,4529980615
Belgium,Exports,Austria,2014,4867482802
Belgium,Exports,Austria,2015,4031655618
Belgium,Exports,Austria,2016,3906133540
Belgium,Exports,Austria,2017,4333126575
Belgium,Exports,Austria,2018,4538666518
Belgium,Exports,Canada,2010,2695085345
Belgium,Exports,Canada,2011,2589352878
Belgium,Exports,Canada,2012,2556577598
Belgium,Exports,Canada,2013,3153616153
Belgium,Exports,Canada,2014,2509579110
Belgium,Exports,Canada,2015,2138780261
Belgium,Exports,Canada,2016,2194090156
Belgium,Exports,Canada,2017,2934198470
Belgium,Exports,Canada,2018,3804144379
Belgium,Exports,Czech Republic,2010,3423634324
Belgium,Exports,Czech Republic,2011,3959933437
Belgium,Exports,Czech Republic,2012,3476774064
Belgium,Exports,Czech Republic,2013,3608430125
Belgium,Exports,Czech Republic,2014,3819417703
Belgium,Exports,Czech Republic,2015,3387783955
Belgium,Exports,Czech Republic,2016,3367603466
Belgium,Exports,Czech Republic,2017,3774772432
Belgium,Exports,Czech Republic,2018,4120833168
Belgium,Exports,Denmark,2010,3001224404
Belgium,Exports,Denmark,2011,3418364736
Belgium,Exports,Denmark,2012,3153155442
Belgium,Exports,Denmark,2013,3269127185
Belgium,Exports,Denmark,2014,3370614728
Belgium,Exports,Denmark,2015,2963195118
Belgium,Exports,Denmark,2016,3016647787
Belgium,Exports,Denmark,2017,3218217055
Belgium,Exports,Denmark,2018,3368535169
Belgium,Exports,Finland,2010,2669919762
Belgium,Exports,Finland,2011,2958455775
Belgium,Exports,Finland,2012,2646607634
Belgium,Exports,Finland,2013,2585849254
Belgium,Exports,Finland,2014,2485657048
Belgium,Exports,Finland,2015,2155205246
Belgium,Exports,Finland,2016,2195246561
Belgium,Exports,Finland,2017,2351300678
Belgium,Exports,Finland,2018,2596707328
Belgium,Exports,France,2010,67732474471
Belgium,Exports,France,2011,78189976855
Belgium,Exports,France,2012,69617336353
Belgium,Exports,France,2013,73321058224
Belgium,Exports,France,2014,73088685030
